Date,Open,High,Low,Close,TVSMOTOR,Volume
25-01-2023,995,1043.650024,992,1037.900024,1032.803955,5461484
27-01-2023,1040,1074.900024,1032.75,1050.800049,1045.640747,3629172
30-01-2023,1051,1056.949951,1018.5,1033.699951,1028.624512,1451127
31-01-2023,1037.650024,1043.900024,1020,1036.75,1031.659668,1311390
01-02-2023,1042,1057.949951,1000,1018.349976,1013.349976,1354579
02-02-2023,1018.349976,1022,990.049988,1002.049988,1002.049988,1224788
03-02-2023,1005.299988,1039.800049,999.599976,1035.599976,1035.599976,1252136
06-02-2023,1035.599976,1064.5,1026.199951,1057.150024,1057.150024,2089402
07-02-2023,1051.050049,1077.199951,1040,1050.650024,1050.650024,1669515
08-02-2023,1045,1055.650024,1037.699951,1039.550049,1039.550049,582218
09-02-2023,1039.550049,1054.699951,1030.599976,1049.800049,1049.800049,539534
10-02-2023,1045,1087,1045,1075.349976,1075.349976,1989509
13-02-2023,1077.949951,1085.699951,1064.699951,1069.150024,1069.150024,710879
14-02-2023,1071.050049,1088.099976,1055,1078.349976,1078.349976,1083378
15-02-2023,1084.449951,1123,1084,1106.5,1106.5,3016998
16-02-2023,1110.449951,1133,1110,1123.900024,1123.900024,2188324
17-02-2023,1119.900024,1119.900024,1092.099976,1103.849976,1103.849976,1382070
20-02-2023,1104.949951,1136,1104.550049,1130.699951,1130.699951,1635712
21-02-2023,1134,1138.949951,1114.5,1125.800049,1125.800049,1622529
22-02-2023,1120,1126.900024,1108.050049,1114.300049,1114.300049,746146
23-02-2023,1119.900024,1125.849976,1109.900024,1117.300049,1117.300049,871201
24-02-2023,1121,1127.5,1103,1105.300049,1105.300049,979359
27-02-2023,1098,1101,1058.900024,1085.199951,1085.199951,1555124
28-02-2023,1090.650024,1093.349976,1072.699951,1080.300049,1080.300049,1418799
01-03-2023,1084,1085.199951,1060,1062.949951,1062.949951,1907551
02-03-2023,1060.199951,1072.900024,1050.050049,1066.849976,1066.849976,1068509
03-03-2023,1072.5,1079,1064,1070.349976,1070.349976,847485
06-03-2023,1074.900024,1102,1072,1098.5,1098.5,950986
08-03-2023,1099,1113,1087.150024,1109.800049,1109.800049,1206161
09-03-2023,1108,1110.900024,1083.449951,1086.550049,1086.550049,906722
10-03-2023,1086.550049,1087.849976,1068.150024,1072.199951,1072.199951,1066823
13-03-2023,1067,1076.400024,1046,1048.699951,1048.699951,972966
14-03-2023,1051.900024,1057.400024,1037.150024,1046,1046,1076802
15-03-2023,1047.099976,1057.349976,1030.349976,1032.75,1032.75,590578
16-03-2023,1034.949951,1057.75,1026.449951,1053.599976,1053.599976,747118
17-03-2023,1060,1065.050049,1040.650024,1046.849976,1046.849976,1797251
20-03-2023,1005,1046.849976,1005,1041.75,1041.75,816115
21-03-2023,1043.150024,1057.75,1043.150024,1054.050049,1054.050049,972168
22-03-2023,1058.449951,1076.199951,1051.050049,1054.800049,1054.800049,658312
23-03-2023,1057,1073.199951,1042.849976,1047.5,1047.5,1063113
24-03-2023,1048.949951,1063.849976,1040.349976,1042,1042,753161
27-03-2023,1042.300049,1055.900024,1030,1046.650024,1046.650024,521344
28-03-2023,1042.5,1050,1029.199951,1034.300049,1034.300049,435620
29-03-2023,1030,1081.5,1030,1079.199951,1079.199951,977216
31-03-2023,1079.199951,1085,1064.900024,1077.199951,1077.199951,911502
03-04-2023,1077.199951,1097.449951,1073,1084.75,1084.75,842497
05-04-2023,1090.5,1099.699951,1083.449951,1089.949951,1089.949951,739800
06-04-2023,1083.699951,1101.050049,1080.5,1098.699951,1098.699951,630530
10-04-2023,1099.699951,1111,1096.849976,1107.650024,1107.650024,1236292
11-04-2023,1107.650024,1137.650024,1105.599976,1128.849976,1128.849976,1112123
12-04-2023,1132,1144,1123.699951,1135.699951,1135.699951,1393983
13-04-2023,1135.699951,1169.5,1134.650024,1162.949951,1162.949951,2035284
17-04-2023,1166,1173,1156.150024,1169.650024,1169.650024,2075441
18-04-2023,1172.650024,1172.800049,1142.25,1144.949951,1144.949951,1071740
19-04-2023,1147,1184.400024,1147,1170.150024,1170.150024,2292305
20-04-2023,1168,1168,1124.5,1127.949951,1127.949951,2592124
21-04-2023,1128.300049,1130.5,1084,1092.949951,1092.949951,2877179
24-04-2023,1090,1117.5,1088.050049,1101.800049,1101.800049,1329750
25-04-2023,1103,1118,1102.150024,1111.5,1111.5,908834
26-04-2023,1113,1128.800049,1106.550049,1125.5,1125.5,1009517
27-04-2023,1123.5,1135.699951,1122.400024,1132.5,1132.5,733407
28-04-2023,1138.949951,1141.599976,1126,1138.349976,1138.349976,713046
02-05-2023,1148.5,1167,1137.050049,1157.949951,1157.949951,932329
03-05-2023,1160,1166.699951,1143.150024,1157.25,1157.25,642953
04-05-2023,1160,1180,1147.599976,1169.050049,1169.050049,632211
05-05-2023,1190,1234.949951,1190,1214.949951,1214.949951,5319185
08-05-2023,1224,1243.449951,1221.550049,1229.800049,1229.800049,2132720
09-05-2023,1230,1239.099976,1220.25,1229.949951,1229.949951,848071
10-05-2023,1231,1245.5,1226.199951,1241.050049,1241.050049,801636
11-05-2023,1244.949951,1246,1231.199951,1239.800049,1239.800049,555502
12-05-2023,1238.400024,1249.949951,1231.25,1237.449951,1237.449951,482504
15-05-2023,1237,1240.449951,1227.199951,1234.5,1234.5,436418
16-05-2023,1239.349976,1252.599976,1235,1244.099976,1244.099976,673132
17-05-2023,1235,1256.800049,1225.550049,1252,1252,691664
18-05-2023,1252,1253.5,1220,1240.550049,1240.550049,516649
19-05-2023,1235.5,1244.699951,1221.199951,1240.150024,1240.150024,615310
22-05-2023,1228.150024,1247.050049,1225,1239.199951,1239.199951,418657
23-05-2023,1239.25,1265.900024,1230,1261.150024,1261.150024,793692
24-05-2023,1262.949951,1279,1247,1272.900024,1272.900024,1070539
25-05-2023,1265,1287.5,1262.349976,1283.099976,1283.099976,1004944
26-05-2023,1278.050049,1301,1270.349976,1293.199951,1293.199951,1409077
29-05-2023,1296.349976,1304.849976,1278.550049,1299.800049,1299.800049,875198
30-05-2023,1299.050049,1306.949951,1280.050049,1282.699951,1282.699951,531133
31-05-2023,1280,1317,1278.050049,1302.800049,1302.800049,3346979
01-06-2023,1286.050049,1290.5,1270,1272.099976,1272.099976,727641
02-06-2023,1286.900024,1310,1281.599976,1305.550049,1305.550049,1923687
05-06-2023,1309.949951,1312.949951,1287.150024,1294.699951,1294.699951,551021
06-06-2023,1296,1339,1286,1332,1332,1703583
07-06-2023,1342.949951,1354.5,1327.949951,1347.5,1347.5,1067501
08-06-2023,1349.949951,1351.400024,1317.900024,1326.099976,1326.099976,511069
09-06-2023,1332,1351.099976,1331,1336,1336,805323
12-06-2023,1368,1384.800049,1335.150024,1339.599976,1339.599976,2237766
13-06-2023,1345.599976,1353,1340.349976,1346.099976,1346.099976,651920
14-06-2023,1346.949951,1350,1333,1345.849976,1345.849976,663045
15-06-2023,1348.650024,1357,1330,1332.849976,1332.849976,808772
16-06-2023,1339,1356.800049,1322.949951,1352.849976,1352.849976,1182213
19-06-2023,1352.099976,1360.800049,1336,1337.949951,1337.949951,445580
20-06-2023,1333,1349.050049,1327,1343.800049,1343.800049,1139873
21-06-2023,1343.800049,1356.550049,1336.550049,1350.900024,1350.900024,846723
22-06-2023,1345.900024,1348.949951,1323,1326.150024,1326.150024,558699
23-06-2023,1327.650024,1329.949951,1295.300049,1301.25,1301.25,705445
26-06-2023,1301.25,1314.900024,1289.150024,1290.349976,1290.349976,607694
27-06-2023,1291,1309.550049,1289,1304.199951,1304.199951,882785
28-06-2023,1304.199951,1304.199951,1304.199951,1304.199951,1304.199951,0
30-06-2023,1330.050049,1340.050049,1318.400024,1325.650024,1325.650024,875476
03-07-2023,1335,1338.5,1313,1318.349976,1318.349976,651040
04-07-2023,1321.900024,1330,1300.050049,1303.75,1303.75,576982
05-07-2023,1308,1323.849976,1293.5,1319.800049,1319.800049,1700571
06-07-2023,1323.449951,1327.75,1304.050049,1314.449951,1314.449951,1151516
07-07-2023,1319.800049,1342.900024,1310.900024,1322,1322,1205329
10-07-2023,1326.949951,1332.699951,1306.300049,1309.25,1309.25,588008
11-07-2023,1316.099976,1355,1311.050049,1342.900024,1342.900024,1492542
