Date,Open,High,Low,Close,LT,Volume
13-07-2023,2466,2484.899902,2446.25,2450.149902,2422.755615,1141663
14-07-2023,2450.25,2477.050049,2448.649902,2472.25,2444.608887,845623
17-07-2023,2475,2494,2465,2468.800049,2441.19751,878697
18-07-2023,2469,2489.949951,2468.100098,2474.699951,2447.03125,720865
19-07-2023,2474.600098,2502.949951,2466.399902,2494.149902,2466.263672,1431080
20-07-2023,2494,2495.699951,2469.050049,2489.699951,2461.863525,1045704
21-07-2023,2522,2595,2521.100098,2586.25,2557.334229,4610417
24-07-2023,2637.649902,2638,2583.899902,2605.25,2576.121826,2155297
25-07-2023,2616,2617.75,2553,2560.899902,2532.267578,2068876
26-07-2023,2591,2673.850098,2585,2646.25,2616.66333,5820099
27-07-2023,2668.949951,2676.350098,2646.449951,2660.199951,2630.457275,2117794
28-07-2023,2660.149902,2668.149902,2625,2649.550049,2619.926514,1325724
31-07-2023,2655,2690,2631.100098,2681.350098,2651.371094,1284981
01-08-2023,2681.350098,2689,2655.350098,2666.649902,2660.649902,1298745
02-08-2023,2638,2644.949951,2602.699951,2622.149902,2622.149902,1479486
03-08-2023,2615,2642.75,2586.300049,2598.100098,2598.100098,1612618
04-08-2023,2605,2635,2598.5,2626.899902,2626.899902,1101278
07-08-2023,2628,2654,2623.100098,2635.899902,2635.899902,1163125
08-08-2023,2639.050049,2649.5,2628.300049,2632.199951,2632.199951,767310
09-08-2023,2635,2655,2615.25,2651.600098,2651.600098,906865
10-08-2023,2640.100098,2661.600098,2621.649902,2643.5,2643.5,1040041
11-08-2023,2642.050049,2656.899902,2631.25,2638.5,2638.5,1320121
14-08-2023,2637,2663.550049,2616,2659.899902,2659.899902,1364413
16-08-2023,2669,2695,2652.050049,2691.050049,2691.050049,1703875
17-08-2023,2691.050049,2691.050049,2642,2652.5,2652.5,1629067
18-08-2023,2650,2674.699951,2632.75,2641.949951,2641.949951,1898966
21-08-2023,2641.850098,2666.600098,2623.449951,2662.25,2662.25,1376318
