Date,Open,High,Low,Close,MAXHEALTH,Volume
10-07-2023,610,617.200012,608.599976,612.650024,611.633972,812693
11-07-2023,614.650024,623.200012,611.25,619.400024,618.372742,2169591
12-07-2023,621,621.400024,611.450012,615.200012,614.179688,1131249
13-07-2023,617.900024,623,614,619.150024,618.123169,1496863
14-07-2023,621,622.099976,595.049988,600.75,599.753662,2456766
17-07-2023,604.200012,613,599.150024,612,610.984985,2039007
18-07-2023,611.900024,611.950012,601,603.900024,602.898438,1057388
19-07-2023,605,614.75,600,611.549988,610.535706,2483696
20-07-2023,610,616.549988,605.049988,609.25,608.239563,686740
21-07-2023,605.450012,611.75,600,602.75,601.750366,814579
24-07-2023,606.900024,615,600,611.650024,610.63562,1127005
25-07-2023,614.299988,618,605.400024,610.900024,609.886841,1265799
26-07-2023,614.200012,614.200012,602,607.950012,606.941711,1216343
27-07-2023,609.799988,609.950012,600.650024,602.950012,601.950012,659020
28-07-2023,604,609.799988,603,606.049988,605.044861,373573
31-07-2023,604,605.799988,589.799988,594.900024,593.913391,1734925
01-08-2023,594.900024,594.950012,568.25,572.299988,571.35083,2483065
02-08-2023,573,580.900024,540.5,571.200012,570.252686,3918130
03-08-2023,571.200012,574,546.700012,555.700012,554.778381,3497717
04-08-2023,550.049988,552.299988,527,538.299988,537.407227,4948029
07-08-2023,545.150024,588.950012,539.75,583.349976,582.382507,3104167
08-08-2023,590,591.950012,554.049988,559.5,558.572083,2930572
09-08-2023,558,559,545.400024,549.950012,549.037903,2275351
10-08-2023,549.950012,551.450012,532.099976,536.75,535.859802,1880862
11-08-2023,537.150024,540.950012,525.549988,529.849976,528.971191,2626634
14-08-2023,529,529,508.5,521.700012,520.834778,1978810
16-08-2023,521.700012,538.849976,512.650024,532,531.117676,3631270
17-08-2023,534,552.700012,526.400024,541.700012,540.801575,2257605
18-08-2023,544.5,547.950012,530,533.400024,532.515381,1426478
21-08-2023,530.799988,554.799988,530,551,550.086182,1896773
22-08-2023,551,570,548.5,569.25,568.305908,1524899
23-08-2023,573,582.950012,563.049988,580.599976,579.637024,2227045
24-08-2023,584.549988,591.200012,560.25,563.299988,562.365784,2650485
25-08-2023,563.299988,563.299988,548,553.599976,552.681824,2226658
28-08-2023,560,561.25,551.099976,554.950012,554.029602,1495246
29-08-2023,560,569.849976,559.950012,562.099976,561.167725,2057981
30-08-2023,563,578.400024,563,575.349976,574.395752,1411015
31-08-2023,580,599,570.650024,589.549988,588.572205,3059199
01-09-2023,589.549988,590,573,574.950012,573.99646,1244029
04-09-2023,574,580.900024,573,574.75,573.796753,1737657
05-09-2023,577,596.950012,575.450012,594.450012,593.464111,1604634
06-09-2023,593.450012,595,580.5,588.599976,587.623779,1165805
07-09-2023,585,606.150024,585,602.950012,601.950012,1855655
08-09-2023,596.599976,608.799988,593.099976,603,603,1305445
11-09-2023,603,625,603,622.150024,622.150024,1437966
12-09-2023,628,628,605,618.450012,618.450012,3420837
13-09-2023,611,611.5,577.349976,582.700012,582.700012,3433999
14-09-2023,586.700012,588.799988,582.099976,583.950012,583.950012,1195049
15-09-2023,585,596.799988,567.200012,572.450012,572.450012,4633092
18-09-2023,572.450012,582.400024,565.599976,574.400024,574.400024,1308820
20-09-2023,570,572,551.25,554.150024,554.150024,2159490
21-09-2023,554.700012,565.549988,547.549988,556.25,556.25,1552347
22-09-2023,555.849976,559.400024,538.5,543.25,543.25,2153657
25-09-2023,543.450012,561.549988,531.049988,556.150024,556.150024,2248687
26-09-2023,558,569.75,550.950012,566.049988,566.049988,964757
27-09-2023,570.650024,578.799988,563.650024,573.599976,573.599976,927353
28-09-2023,578.75,581,563.200012,569.599976,569.599976,1088420
29-09-2023,569.950012,574.700012,558.700012,567.400024,567.400024,1680436
03-10-2023,568.950012,601,562.950012,592.200012,592.200012,3015887
04-10-2023,590,590,563.349976,570.200012,570.200012,1642684
05-10-2023,575,575.900024,560,562.5,562.5,753385
06-10-2023,564,567.799988,558,560.700012,560.700012,1590442
