Date,Open,High,Low,Close,PFC,Volume
28-04-2023,131.960007,136.240005,131.880005,135.919998,132.11438,18511696
02-05-2023,136.880005,140.279999,135.960007,138.880005,134.991501,26929266
03-05-2023,139.160004,140.199997,136.039993,136.360001,132.542053,13017456
04-05-2023,136.800003,141.960007,136.759995,139.520004,135.613586,12978156
05-05-2023,139.520004,141.039993,134.679993,135.080002,131.297897,12554473
08-05-2023,135.039993,138.360001,134.720001,136.600006,132.775345,7231975
09-05-2023,137.119995,137.960007,132.960007,133.199997,129.470535,11499542
10-05-2023,134.199997,134.360001,131.399994,132.240005,128.537415,11856128
11-05-2023,132.800003,134.880005,130.919998,131.679993,127.993088,12099816
12-05-2023,129.720001,132.160004,126.919998,131.720001,128.031982,28062578
15-05-2023,132.199997,137.600006,131.440002,136.919998,133.08638,15177651
16-05-2023,137.759995,139.479996,133.320007,133.839996,130.092606,23255306
17-05-2023,134.399994,135.039993,130.399994,131.479996,127.798691,14492755
18-05-2023,132.520004,134.880005,131.320007,131.880005,128.1875,11886627
19-05-2023,132,133.240005,130.639999,132.520004,128.809586,7935136
22-05-2023,132.520004,133.559998,131.279999,133.039993,129.315002,8302832
23-05-2023,133.360001,134.160004,132.240005,132.600006,128.887344,7500411
24-05-2023,132.600006,133.520004,131.759995,133.199997,129.470535,5348983
25-05-2023,133.160004,136.800003,132.839996,136.479996,132.658691,11829380
26-05-2023,137.440002,138.399994,135,136.360001,132.542053,4819450
29-05-2023,139.039993,141.759995,137.720001,139.440002,135.535828,16154211
30-05-2023,139.960007,145.320007,139,144.919998,140.862381,19369441
31-05-2023,144.720001,146.759995,143.639999,145.919998,141.834381,13788165
01-06-2023,145.600006,147.119995,145.440002,146.559998,142.456467,8004016
02-06-2023,147.199997,152.800003,146.679993,152.360001,148.09407,24211463
05-06-2023,153.240005,158,152.360001,154.919998,150.582397,19494456
06-06-2023,155.520004,157.759995,153.320007,155.600006,151.243362,13209340
07-06-2023,156.360001,157.800003,156,157.160004,152.759689,7872700
08-06-2023,156.960007,159.320007,155.880005,157.479996,153.070709,10582053
09-06-2023,158.399994,159.600006,156.520004,158.960007,154.509293,7904078
12-06-2023,159.559998,162.399994,159.039993,161.720001,157.192001,8456271
13-06-2023,162.039993,163.320007,158.399994,162.440002,157.891846,14186832
14-06-2023,163.520004,163.520004,159.800003,160.839996,156.336639,13047692
15-06-2023,160.399994,162.639999,159.440002,160.720001,156.220001,10540327
16-06-2023,157.479996,158.720001,155.399994,157.679993,157.679993,12326310
19-06-2023,157.679993,159.639999,156.600006,157.800003,157.800003,9246936
20-06-2023,158.199997,163.600006,157.199997,163.160004,163.160004,9726607
21-06-2023,163.800003,169.520004,163.360001,167.039993,167.039993,20756190
22-06-2023,167.160004,167.520004,160.800003,162.600006,162.600006,11657516
23-06-2023,162.360001,163.199997,159.080002,160.119995,160.119995,9072837
26-06-2023,160.199997,162.919998,158.479996,159.880005,159.880005,9280932
27-06-2023,160.960007,167.160004,160.720001,166.279999,166.279999,19047221
28-06-2023,167,175.440002,166.399994,174.240005,174.240005,32094496
30-06-2023,176,176.199997,171.440002,172.720001,172.720001,16951743
03-07-2023,173.559998,178.679993,172.399994,175.800003,175.800003,12784213
04-07-2023,175.880005,179.039993,173.240005,177,177,14872598
05-07-2023,177.600006,180.279999,176.880005,178.639999,178.639999,9635371
06-07-2023,178.600006,181.320007,177.720001,178.919998,178.919998,8983942
07-07-2023,178.800003,179.399994,175.080002,177.039993,177.039993,9032541
10-07-2023,177.039993,180.360001,174.080002,179.600006,179.600006,11836860
11-07-2023,179.639999,184.320007,179.600006,181.679993,181.679993,27521285
12-07-2023,182.160004,184.039993,180.479996,181.800003,181.800003,11875910
13-07-2023,182.559998,182.919998,177.600006,179.720001,179.720001,10619100
14-07-2023,180.800003,181.119995,178.320007,179.679993,179.679993,7757530
17-07-2023,180,181.520004,178,178.720001,178.720001,7938596
18-07-2023,178.720001,181,176.039993,177.360001,177.360001,14288727
19-07-2023,177.600006,181.600006,176.520004,181.119995,181.119995,9563980
20-07-2023,181.600006,182.800003,180.039993,180.960007,180.960007,6992561
21-07-2023,180.720001,182.679993,179.880005,181.600006,181.600006,7056545
24-07-2023,184,195.199997,183.320007,191.800003,191.800003,27932963
25-07-2023,193.559998,194.759995,188.320007,190.600006,190.600006,14752168
26-07-2023,190.800003,195.600006,189.520004,194.160004,194.160004,12038222
27-07-2023,195.960007,204.119995,194.479996,202.679993,202.679993,26304320
28-07-2023,203.440002,208.119995,201.679993,204.679993,204.679993,16384307
31-07-2023,204.800003,209.600006,203.199997,209.119995,209.119995,14236327
01-08-2023,209.720001,210.520004,205.240005,207.080002,207.080002,11212380
02-08-2023,206.399994,211.479996,199.639999,205.039993,205.039993,16122036
03-08-2023,204,209.559998,202.600006,208.119995,208.119995,13853421
04-08-2023,208.119995,210.320007,205.720001,206.880005,206.880005,10243822
07-08-2023,206.839996,214.360001,206.160004,213.479996,213.479996,19592147
08-08-2023,216,221.440002,208.039993,215.199997,215.199997,38293583
09-08-2023,215.960007,216.919998,212.279999,216.039993,216.039993,12734777
10-08-2023,216.039993,216.720001,210.839996,213.639999,213.639999,12885501
11-08-2023,217.199997,218.039993,209.279999,211.240005,211.240005,24759160
14-08-2023,210.320007,214.800003,206.360001,211.240005,211.240005,16369013
16-08-2023,210.399994,213.559998,208.479996,211.360001,211.360001,10764313
17-08-2023,211.320007,217.479996,210.919998,216.679993,216.679993,22827203
18-08-2023,216.600006,219.520004,212.160004,214.800003,214.800003,15978257
21-08-2023,215.759995,217.559998,213.279999,216.039993,216.039993,14616437
22-08-2023,217.119995,221.759995,216.080002,218.479996,218.479996,15832807
23-08-2023,219.199997,220.199997,217.320007,218.679993,218.679993,10786048
24-08-2023,220.360001,221.240005,216.160004,216.559998,216.559998,10437083
25-08-2023,217.199997,219.520004,211.440002,216.039993,216.039993,18390451
28-08-2023,217.119995,218.360001,214.639999,217.639999,217.639999,20674040
29-08-2023,218.399994,219.039993,214.800003,216,216,21612353
30-08-2023,218.160004,219.440002,216.880005,218.279999,218.279999,19494892
31-08-2023,219.199997,221.440002,205.080002,208.160004,208.160004,205689248
01-09-2023,205.440002,209.399994,200.440002,205.919998,205.919998,31886045
04-09-2023,207.160004,211.800003,205.520004,211.360001,211.360001,17449756
05-09-2023,211.320007,212.039993,208.440002,209.679993,209.679993,18024101
06-09-2023,209.679993,209.679993,203.839996,206,206,13072843
07-09-2023,207.119995,218.399994,205.600006,217.479996,217.479996,24056615
08-09-2023,218.600006,245.520004,216.800003,244.080002,244.080002,82791157
11-09-2023,247.919998,251.119995,242.240005,244.960007,244.960007,32528622
12-09-2023,247.039993,247.039993,225.600006,226.320007,226.320007,32072173
13-09-2023,227.080002,230.320007,220.479996,222.559998,222.559998,22854207
14-09-2023,225.600006,226.759995,219.839996,223.639999,223.639999,20229285
15-09-2023,224.880005,228.520004,220.960007,223.520004,223.520004,16840451
18-09-2023,224.080002,230.960007,223.039993,229.919998,229.919998,21777587
20-09-2023,231.199997,234.639999,228.240005,229.520004,229.520004,24146948
21-09-2023,229.600006,236.25,225.25,229.699997,229.699997,19969152
22-09-2023,231,239.600006,230.399994,238.399994,238.399994,19853464
25-09-2023,239.350006,241.149994,236.550003,238.199997,238.199997,10640362
26-09-2023,238.199997,239.149994,232.899994,234.399994,234.399994,10324176
27-09-2023,236.149994,254.100006,235.449997,249.649994,249.649994,41395652
28-09-2023,249.75,250.350006,243.449997,244.899994,244.899994,17882450
29-09-2023,248.5,254.25,247.199997,251.899994,251.899994,20556307
03-10-2023,251,254,247.5,250.949997,250.949997,20505684
04-10-2023,250.949997,252.199997,240.75,243.899994,243.899994,11248912
05-10-2023,246.5,246.850006,239.850006,240.550003,240.550003,6991188
06-10-2023,242.600006,248.25,238.25,246.300003,246.300003,10502776
