Date,Open,High,Low,Close,RECLTD,Volume
13-03-2023,123.199997,123.449997,119,119.650002,114.943115,7017652
14-03-2023,119.550003,119.650002,116.75,117.050003,112.445396,7954918
15-03-2023,117.599998,119.599998,116.400002,116.75,112.157196,6316701
16-03-2023,116.800003,117.849998,114.900002,117.199997,112.589493,8218711
17-03-2023,118,118.949997,115.650002,118.349998,113.694252,17093755
20-03-2023,118.900002,118.900002,115.050003,116.150002,111.580803,4336995
21-03-2023,116.949997,118.849998,116.199997,118.650002,113.98246,6321736
22-03-2023,118.900002,120.099998,118.199997,118.5,113.838356,4909359
23-03-2023,118,118.900002,117.050003,117.400002,112.781631,4117362
24-03-2023,117.400002,117.5,114.800003,115.150002,110.62014,4063763
27-03-2023,115.150002,115.900002,113.800003,115.050003,110.524078,4746510
28-03-2023,115.449997,115.5,113.199997,114.099998,109.61145,3499631
29-03-2023,114.050003,116,113.800003,115.75,111.196541,3240893
31-03-2023,116,117.150002,115.050003,115.449997,110.908333,7157701
03-04-2023,116.150002,117.300003,115.650002,117.099998,112.493431,3774391
05-04-2023,117.150002,118.099998,116,117.699997,113.069824,4746533
06-04-2023,117.199997,119.650002,116.699997,118.75,114.078522,5950739
10-04-2023,119.099998,124.449997,118.550003,124.050003,119.170036,13996876
11-04-2023,124.300003,125.599998,122.599998,124.349998,119.458221,6856892
12-04-2023,124.050003,124.650002,123,123.300003,118.449539,3505826
13-04-2023,123.400002,123.400002,120,121.349998,116.576241,5447261
17-04-2023,121.25,123.599998,120.5,122.900002,118.065269,6166859
18-04-2023,123.400002,124.400002,121.800003,123.25,118.401497,8159668
19-04-2023,123.25,124.349998,122.550003,122.849998,118.017235,2394983
20-04-2023,122.849998,123.550003,122.25,122.699997,117.873131,2099290
21-04-2023,122.699997,123.25,121.550003,121.900002,117.104607,3961253
24-04-2023,122.050003,124.150002,121.050003,123.949997,119.073959,4726202
25-04-2023,124.400002,127.449997,124,125.050003,120.130692,9397015
26-04-2023,125,126,124.349998,125.300003,120.370857,4179866
27-04-2023,125.199997,125.800003,124.449997,125.099998,120.178719,3724514
28-04-2023,125.449997,132.399994,125.150002,132.149994,126.951378,24029372
02-05-2023,133.899994,138.399994,133.050003,136.449997,131.08223,20740058
03-05-2023,136.199997,138.600006,135.75,136.149994,130.794022,10032855
04-05-2023,136.699997,140.800003,136.25,136.899994,131.514526,12035888
05-05-2023,137.050003,137.699997,132.100006,132.300003,127.095482,12581014
08-05-2023,132.899994,135.25,132.5,133.600006,128.344345,8158248
09-05-2023,133.699997,135.449997,131.5,131.949997,126.759254,6029220
10-05-2023,132.100006,132.449997,130.699997,131.449997,126.278915,5728123
11-05-2023,132.350006,133.600006,131.350006,131.600006,126.423019,7647215
12-05-2023,131.399994,133.350006,130.350006,132.850006,127.623856,6697676
15-05-2023,133.449997,136.800003,131.699997,136.350006,130.98616,8845743
16-05-2023,136.949997,137.550003,132.25,132.649994,127.431702,18848790
17-05-2023,133.399994,134.25,131.350006,133.100006,127.864014,9026909
18-05-2023,133.100006,134.350006,129.050003,129.5,124.405632,11351018
19-05-2023,130.25,130.550003,127.400002,129.800003,124.693832,7924933
22-05-2023,129.800003,130.399994,128.800003,129,123.925301,7575592
23-05-2023,129.5,131.5,128.350006,130.5,125.366295,9958429
24-05-2023,130.5,131.449997,129.800003,130.899994,125.750549,4991702
25-05-2023,130.800003,133.350006,130.5,133,127.767944,7354404
26-05-2023,133,133.850006,132.050003,133.449997,128.200241,6649980
29-05-2023,134.5,137.800003,134,135.850006,130.505844,11395309
30-05-2023,136,141,135.199997,140.350006,134.828812,15899557
31-05-2023,140.449997,142.649994,139.75,141.550003,135.981598,13591196
01-06-2023,142.149994,142.449997,140.399994,140.600006,135.068985,6036123
02-06-2023,141.75,145.199997,141.449997,144.25,138.575394,11032233
05-06-2023,145,147.199997,144.649994,145.25,139.536041,10772251
06-06-2023,145.5,146.399994,142.899994,146.149994,140.400635,5730697
07-06-2023,146.600006,147.350006,146.149994,146.550003,140.784912,3927043
08-06-2023,146.600006,147.5,145,145.800003,140.064423,6645263
09-06-2023,145.899994,149.449997,145.199997,149.050003,143.186554,8270232
12-06-2023,149.600006,155.100006,148.800003,154.600006,148.518234,14649620
13-06-2023,155.149994,156.199997,151.800003,154.899994,148.806412,12418368
14-06-2023,155.399994,155.949997,152.949997,153.699997,147.653625,7737722
15-06-2023,154.649994,155.149994,151,151.550003,145.588211,7666988
16-06-2023,151.75,153.649994,150.550003,152.600006,146.596909,7403920
19-06-2023,153,154.600006,152.050003,153.850006,147.797729,7123074
20-06-2023,153.949997,161,153.300003,159.800003,153.513672,15061901
21-06-2023,161.100006,168.850006,160.600006,163.850006,157.404358,24747224
22-06-2023,163.899994,163.899994,156.5,159.050003,152.793167,14009571
23-06-2023,160,160.899994,155.449997,156,149.863144,8520782
26-06-2023,157,159.399994,155.199997,156.25,150.103317,10223521
