Date,Open,High,Low,Close,SDBL,Volume
16-05-2023,179.399994,181.25,176.800003,177.25,177.25,281482
17-05-2023,178.25,181,175.300003,180,180,280813
18-05-2023,181.100006,185,181.100006,183.350006,183.350006,332753
19-05-2023,184.649994,193.149994,181.149994,189.850006,189.850006,1022307
22-05-2023,190.350006,216.699997,185.350006,202.800003,202.800003,2240381
23-05-2023,205.949997,211.399994,202.149994,204.600006,204.600006,933220
24-05-2023,204.800003,219.899994,203.5,217.25,217.25,1136466
25-05-2023,217.350006,219.800003,210.949997,214.949997,214.949997,467905
26-05-2023,217.149994,219.850006,212.5,217,217,394449
29-05-2023,218.5,232.75,218.5,223.300003,223.300003,856693
30-05-2023,232,232,224.100006,229.649994,229.649994,528570
31-05-2023,229,236.199997,229,232.949997,232.949997,404256
01-06-2023,232.899994,235.600006,222.5,225.199997,225.199997,569391
02-06-2023,226.899994,232.300003,225.550003,231.050003,231.050003,355135
05-06-2023,233.850006,267.950012,230.100006,253.5,253.5,1383684
06-06-2023,259,275,258.25,268.799988,268.799988,1260512
07-06-2023,270.700012,276.049988,262.5,267.799988,267.799988,586192
08-06-2023,267,270.600006,242.75,250.600006,250.600006,1176837
09-06-2023,252.550003,257.700012,246.600006,248.600006,248.600006,437768
12-06-2023,250.449997,259,244,249.600006,249.600006,532693
13-06-2023,250.100006,252.350006,243.949997,246.600006,246.600006,317783
14-06-2023,247.949997,255,246,247.600006,247.600006,362221
15-06-2023,248.899994,250,238.199997,240.949997,240.949997,553232
16-06-2023,243.25,250,243.25,245.699997,245.699997,295142
19-06-2023,247.449997,260.799988,243.25,258.399994,258.399994,813898
20-06-2023,260.049988,265,258.200012,260.649994,260.649994,684895
21-06-2023,262.5,266.950012,256.100006,258.649994,258.649994,421754
22-06-2023,259.5,262.950012,252.550003,256.75,256.75,236997
23-06-2023,258.649994,261.950012,244,249.550003,249.550003,452554
26-06-2023,251.399994,262.5,249.100006,255.050003,255.050003,374549
27-06-2023,256.350006,257,252.149994,253.649994,253.649994,155571
28-06-2023,253.649994,253.649994,253.649994,253.649994,253.649994,0
30-06-2023,255.75,269.799988,254,261.899994,261.899994,711408
03-07-2023,266.5,275.5,264.25,274.299988,274.299988,678072
04-07-2023,277,296,277,292.200012,292.200012,1203028
05-07-2023,294,309.850006,293.200012,306.850006,306.850006,1046457
06-07-2023,305,310,295,302.5,302.5,677394
07-07-2023,302,307.450012,285.200012,295,295,978507
10-07-2023,300,302.850006,290.5,300.049988,300.049988,356242
11-07-2023,301.200012,319.700012,298.399994,309.299988,309.299988,787392
12-07-2023,312,314.850006,308,309.75,309.75,298953
13-07-2023,311,311.649994,301,302.5,302.5,345663
14-07-2023,303,309.799988,300.450012,303.75,303.75,252657
17-07-2023,300,317.799988,300,305.600006,305.600006,646979
18-07-2023,308.600006,315.899994,307.549988,312.200012,312.200012,448801
19-07-2023,314.399994,329.700012,313.299988,327.100006,327.100006,1004326
20-07-2023,327.100006,336.200012,320.700012,324.649994,324.649994,666081
21-07-2023,321.5,336,321.049988,331.850006,331.850006,482425
24-07-2023,340,341.799988,332.5,335.149994,335.149994,391243
25-07-2023,336,343.5,320,325.450012,325.450012,382897
26-07-2023,320.049988,324.899994,310.899994,313.5,313.5,656353
27-07-2023,311,324.5,311,322,322,398434
28-07-2023,325.950012,332.950012,315.5,321.75,321.75,421642
31-07-2023,325,339.049988,321.200012,333.899994,333.899994,561821
01-08-2023,365,365,331.649994,335.75,335.75,1529520
02-08-2023,339.799988,344,316.799988,324.549988,324.549988,798250
03-08-2023,326,333.799988,324.049988,332.649994,332.649994,345569
04-08-2023,334.899994,338.5,331,333.700012,333.700012,210901
07-08-2023,333.899994,334.850006,319.5,321.5,321.5,414816
08-08-2023,323.600006,326.799988,313,316.399994,316.399994,305079
09-08-2023,319,321.399994,308.5,310.649994,310.649994,389264
10-08-2023,310.5,319,292.200012,310.899994,310.899994,1168707
11-08-2023,314,322.899994,310.399994,318.549988,318.549988,468546
14-08-2023,315,322,310,321.299988,321.299988,378347
16-08-2023,323.399994,328.149994,321.5,323.799988,323.799988,265190
17-08-2023,325.299988,337.149994,325.299988,331.799988,331.799988,427393
18-08-2023,330,333,316.700012,320.25,320.25,396556
21-08-2023,323,323,312.549988,316.450012,316.450012,263086
22-08-2023,316.950012,324.950012,316.450012,322.649994,322.649994,246116
23-08-2023,325.5,328,321.549988,324.549988,324.549988,183071
24-08-2023,327,327.600006,316.600006,319.450012,319.450012,245384
25-08-2023,319.799988,320.149994,311.100006,313.5,313.5,244406
28-08-2023,315.75,317.649994,310.299988,311.649994,311.649994,142881
29-08-2023,312.899994,330,310.350006,319.350006,319.350006,776492
30-08-2023,320.299988,324,317,317.899994,317.899994,308976
31-08-2023,319.299988,320.399994,314.049988,314.75,314.75,167037
01-09-2023,320,327.950012,318.200012,319.799988,319.799988,265517
04-09-2023,322.799988,328,321.350006,324.200012,324.200012,313038
05-09-2023,326.25,335,326,331.950012,331.950012,460161
06-09-2023,334.200012,339.700012,322.25,326.700012,326.700012,263044
07-09-2023,328.450012,329.799988,323.299988,323.950012,323.950012,163968
08-09-2023,324.5,344,314.5,339.299988,339.299988,1014054
11-09-2023,342.799988,348.649994,326.600006,334.200012,334.200012,640343
12-09-2023,335.049988,337.149994,300,314.649994,314.649994,930182
13-09-2023,314.549988,323.5,314.549988,319.149994,319.149994,303300
14-09-2023,322.299988,324.899994,320.100006,322.700012,322.700012,130967
